country_code,name,type,gender,population
HU,Anna Katalin,firstname,F,212
CZ,Hartigová Hrdličková,lastname,F,1
SK,Sapančíková,lastname,,4
PL,Czeczukowski,lastname,M,1
PL,Dziudz,lastname,,5
PL,Cukier,lastname,,809
PL,Cimerman,lastname,,66
PL,Jurusz,lastname,,67
PL,Oszczeda,lastname,,6
SK,Šatková,lastname,,171
CZ,Čapajevská,lastname,M,1
PL,Faltyn,lastname,,606
PL,Normont,lastname,,3
CZ,Konetzná,lastname,M,36
SK,Tomkovičová,lastname,,30
SK,Geralsky,firstname,,
PL,Podhrebelna,lastname,,6
PL,Gidziewicz,lastname,,5
PL,Zemborski,lastname,M,1
HU,Csató Zsófia,lastname,U,3
PL,Kukaszewicz,lastname,,1
HU,Yasin Baykan,firstname,,1
PL,Glawik,lastname,,1
SK,Porachan,firstname,,
PL,Szumna,lastname,F,755
PL,Denarczyk,lastname,,8
PL,Świeciak,lastname,,132
CZ,Tajmar,lastname,M,3
CZ,Kohlross,lastname,M,2
CZ,Pemberton,lastname,M,1
SK,Gyöngyösiová,lastname,,6
PL,Mojcner,lastname,,7
PL,Chadżak,lastname,,
CZ,Coural,lastname,M,44
CZ,Kompitová,lastname,F,12
HU,Tamara Mihajlovna,firstname,F,2
CZ,D'Esteová,lastname,F,2
PL,Gampel,lastname,,10
HU,Leonetta Kíra,firstname,F,2
PL,Wnętkowski,lastname,M,48
PL,Borszych,lastname,,
SK,Viktoriusová,lastname,,5
CZ,Mačát,lastname,M,103
CZ,Olehlová,lastname,F,25
PL,Burostaler,lastname,,
CZ,Špangerová Hudečková,lastname,F,1
PL,Fełuch,lastname,,1
CZ,Perecová,lastname,F,3
PL,Hojnor,lastname,,69
CZ,Hejník,lastname,M,30
PL,Dobranz,lastname,,18
CZ,Tomschiová,lastname,F,7
PL,Gissek,lastname,,
PL,Tison,lastname,,
PL,Brejse,lastname,,4
SK,Firča,lastname,,11
PL,Banaszewicz,lastname,,5
CZ,Biebl,lastname,M,18
CZ,Zlata Abigail,firstname,,1
PL,Nawelajko,lastname,,
PL,Sułęcka,lastname,,1
CZ,Dirriglová,lastname,F,4
CZ,Kchop,lastname,M,4
SK,Dimmel,lastname,,6
HU,Persely,lastname,U,9
PL,Tauszyński,lastname,M,5
SK,Mišaga,lastname,,14
PL,Prendecka,lastname,F,51
HU,Zalán Dávid,firstname,M,3
HU,Fanni Villő,firstname,F,2
HU,Júlia Mihaéla,firstname,F,1
PL,Maziuga,lastname,,5
PL,Tobiszowski,lastname,M,34
SK,Mokrý,lastname,,637
PL,Żondarski,lastname,M,1
CZ,Robinson,firstname,,56
CZ,Šneberg,lastname,M,20
PL,Korzeniewska Vel Winek,lastname,,1
CZ,Stilz,lastname,M,11
PL,Mikłajuk,lastname,,1
CZ,Petrzik Hronovská,lastname,M,1
HU,Szerén Ilona,firstname,F,1
PL,Dyczfeld,lastname,,
CZ,Pocko,lastname,M,4
CZ,Pramenná,lastname,M,1
HU,Kismarczi-Antalffy,lastname,U,6
PL,Machaszewski,lastname,M,6
CZ,Nicole Lemoni,firstname,,1
HU,Gukhwa,firstname,,1
CZ,Čulová,lastname,F,8
CZ,Natalie Karolina,firstname,,1
CZ,Kozoň,lastname,M,23
HU,Bábszki-Takács,lastname,U,3
PL,Tarwachowicz,lastname,,
PL,Sikon-Siekańska,lastname,,3
PL,Wemelka,lastname,,
CZ,Del Risco Koupová,lastname,F,1
PL,Blajchert,lastname,,47
SK,Bekeová,firstname,,
CZ,Želinská,lastname,M,58
SK,Čačko,firstname,,
CZ,Popelková,lastname,F,1901
CZ,Schimík,lastname,M,1
PL,Korzemski,lastname,M,20
PL,Wdech,lastname,,
PL,Żawaryński,lastname,M,1
PL,Przybołowska,lastname,,2
HU,Ros,lastname,U,3
SK,Jokl,lastname,,8
PL,Duszeńczyk,lastname,,
PL,Grabert,lastname,,15
HU,Gabriella Marianna,firstname,F,15
PL,Pulitowski,lastname,M,1
CZ,Klymusová,lastname,F,2
CZ,Pavla Cristina,firstname,,1
CZ,Piška,lastname,M,11
HU,Bukoczki,lastname,U,15
CZ,Labohý,lastname,M,5
PL,Śledziejewska,lastname,,1
SK,Horvay,firstname,,
CZ,Nikolaos,firstname,,69
HU,Rekiczki,lastname,U,36
PL,Atyła,lastname,,
HU,Ariella Lejla,firstname,F,1
HU,Kalatha,lastname,U,3
CZ,Sezemský,lastname,M,62
PL,Kantza,lastname,,1
PL,Chrystoforuk,lastname,,
SK,Frenchik,lastname,,
CZ,Ravotti,lastname,M,4
SK,Kíšová,lastname,,5
PL,Hołonowicz,lastname,,62
SK,Hamranová,firstname,,
PL,Kapielewicz,lastname,,2
PL,Bieszaj,lastname,,2
HU,Krilek,lastname,U,12
HU,Jázmin Tünde,firstname,F,1
PL,Kuzirowicz,lastname,,1
CZ,Raisich,lastname,M,4
CZ,Mildred,firstname,,2
SK,Ondrašiková,lastname,,3
CZ,Waňurová,lastname,F,2
HU,Schermann,lastname,U,171
PL,Głogokiewicz,lastname,,2
PL,Filkowska,lastname,F,59
HU,Imre Attiláné,firstname,F,1
SK,Grós,lastname,,10
CZ,Borůvka Danihelová,lastname,F,1
HU,Vinisné Tromposch,lastname,F,3
PL,Kwitkowski,lastname,M,106
CZ,Matelešková,lastname,F,2
CZ,Cankyová,firstname,,
CZ,Antoine Nicolas,firstname,,1
PL,Podorski,lastname,M,84
HU,Mirian Ildikó,firstname,F,1
CZ,Lachovský,lastname,M,4
CZ,Perićová,lastname,F,3
PL,Pomarnacki,lastname,M,11
PL,Maridziak,lastname,,
PL,Kuszelewska,lastname,F,68
PL,Ciaklińska,lastname,,
PL,Ziemnianek,lastname,,1
CZ,Diňa,lastname,M,33
PL,Czubatka,lastname,,95
CZ,Rzažewská,lastname,M,5
PL,Baha,lastname,,6
HU,Pálma Mónika,firstname,F,1
CZ,Eichackerová,lastname,F,9
PL,Marynko,lastname,,2
PL,Wessola,lastname,F,
CZ,Olivia Rosa,firstname,,1
SK,Límová,lastname,,26
PL,Storuch,lastname,,
HU,Kornélia Karmen,firstname,F,1
CZ,Rudolf Vlastislav,firstname,,1
CZ,Kocúrková,lastname,F,38
PL,Matonocha,lastname,,2
PL,Piroszewska,lastname,F,2
PL,Kanczur,lastname,,
SK,Pechovičová,lastname,,2
CZ,Masjuková,lastname,F,1
HU,Wegscheidler,lastname,U,
PL,Schunacher,lastname,,
CZ,Stiblová,lastname,F,5
HU,Tildi,lastname,U,9
PL,Martinsson,lastname,,3
HU,Berkesy,lastname,U,3
SK,Altany,firstname,,
HU,Antal Loránd,firstname,M,1
CZ,Pullmannová,lastname,F,40
HU,Kira Erzsébet,firstname,F,1
PL,Gontarz,lastname,,2869
HU,Tyrnauer,lastname,U,
PL,Ganior,lastname,,
PL,Hohenmajer,lastname,,1
CZ,Šťuková,lastname,F,30
HU,Sztranyánszki,lastname,U,12
PL,Kąc,lastname,,42
SK,Raynor,firstname,M,
CZ,Nepražová,lastname,F,1
PL,Dalecki,lastname,M,1919
PL,Rostocki,lastname,M,175
PL,Czubecka,lastname,F,5
CZ,Bartoňová Zikanová,lastname,F,1
PL,Włodzimiruk,lastname,,
CZ,Tužínská,lastname,M,1
PL,Pródzińska,lastname,,2
PL,Tanhäuser,lastname,,1
PL,Jarczukiewicz,lastname,,
CZ,Geržík,lastname,M,3
SK,Sutorka,lastname,,
HU,Rozália Patrícia,firstname,F,1
HU,Mai Lan,firstname,,3
PL,Baermann,lastname,,10
PL,Opiół,lastname,,8
HU,Brigitta Fanni,firstname,F,15
SK,Máté,lastname,,611
CZ,Boušková Chalupová,lastname,F,1
CZ,Mosorjáková,lastname,F,1
CZ,Šuslik,lastname,M,2
PL,Schulwitz,lastname,,23
HU,Markó Patrik,firstname,M,1
PL,Serkez,lastname,,4
PL,Górajdowski,lastname,M,4
PL,Osiejewicz,lastname,,15
PL,Woycikiewicz,lastname,,18
CZ,Dosdá,lastname,M,3
PL,Atrąpeć,lastname,,
PL,Lichnerowicz,lastname,,257
PL,Służuk,lastname,,
PL,Wiedermann,lastname,,5
HU,Lúcia Fruzsina,firstname,F,1
CZ,Lora,lastname,M,19
PL,Piechaczek,lastname,,2137
PL,Pokacki,lastname,M,45
CZ,Stryová,lastname,F,12
CZ,Krištál,lastname,M,2
SK,Rufína,firstname,,
CZ,Nákonečnij,lastname,M,2
CZ,Valalíková,lastname,F,5
SK,Kubasko,lastname,,8
HU,Levente Ciprián,firstname,M,1
CZ,Fraitová,lastname,F,102
CZ,Wálek,lastname,M,10
PL,Kłosowski,lastname,M,6697
HU,Spányi,lastname,U,9
HU,Zerderák,lastname,U,3
PL,Żmigrodzki,lastname,M,260
HU,Donát István,firstname,M,11
HU,Kordélia,firstname,F,7
CZ,Teddy Benedict,firstname,,1
SK,Hajas,firstname,,
PL,Trzecionkowski,lastname,M,3
HU,Fecher,lastname,U,
SK,Kadišová,lastname,,18
HU,Norbert Imre,firstname,M,36
CZ,Balážová Zahrádková,lastname,F,1
HU,Kolbányi,lastname,U,6
HU,Hodósi,lastname,U,3
CZ,Kapitanová,lastname,F,2
PL,Śwacińska,lastname,,1
CZ,Štrasová,lastname,F,8
PL,Pociecz,lastname,,1
CZ,Pistrich,lastname,M,1
CZ,Samantha Martina,firstname,,1
HU,Rezső Sándorné,firstname,F,1
CZ,Al-Jawahiri,lastname,M,1
PL,Winarska,lastname,F,73
CZ,Trakovický,lastname,M,1
PL,Herszkiewicz,lastname,,12
SK,Kasubjak,firstname,,
HU,Vilmos Sándor,firstname,M,3
SK,Cmorej,firstname,,
HU,Cata,lastname,U,3
PL,Chalamański,lastname,M,2
CZ,Lahmerová,lastname,F,7
HU,Berena,lastname,U,24
CZ,Fučíková Pokorná,lastname,M,1
SK,Bojtošová,firstname,,
PL,Arsiewicz,lastname,,1
PL,Doniziak,lastname,,4
PL,Kryczykowska,lastname,F,2
HU,Fóra,lastname,U,33
PL,Nikipierowicz,lastname,,38
CZ,Bič,lastname,M,56
HU,Ádám Nándor,firstname,M,11
PL,Gołaszczyk,lastname,,29
CZ,Pejmlová,lastname,F,6
PL,Bułeczka,lastname,,21
HU,Hunor Vajk,firstname,M,2
CZ,Prillingerová,lastname,F,1
CZ,Lé,lastname,M,1
CZ,Thuy Duong,firstname,,8
SK,Fereje,lastname,,34
PL,Amielewski,lastname,M,1
CZ,Zepfová,lastname,F,5
CZ,Emily Anne,firstname,,2
SK,Otočková,lastname,,18
HU,Gellért Mátyás,firstname,M,2
PL,Cerzycka,lastname,F,6
HU,Laura Rose,firstname,F,1
HU,Karina Hella,firstname,F,1
CZ,Fatjo,lastname,M,2
PL,Miszczyrko,lastname,,1
HU,András Róbert,firstname,M,26
HU,Krecs,lastname,U,42
CZ,Rony,firstname,,8
CZ,Ha Minh,firstname,,2
PL,Akaczonek,lastname,,33
PL,Pinaud,lastname,,5
HU,Pruna,lastname,U,15
PL,Rumnik,lastname,,2
SK,Záslav,firstname,,
CZ,Heřmánková Fárová,lastname,F,1
PL,Dymszewicz,lastname,,3
CZ,Ficová,lastname,F,359
PL,Awraam,lastname,,3
HU,Ibolya Amália,firstname,F,2
HU,Doritou,firstname,,1
PL,Olędzińska,lastname,,1
HU,Kaposnyák,lastname,U,6
PL,Kozłkowska,lastname,F,2
CZ,Reinscher,lastname,M,1
PL,Świentkowska,lastname,F,4
CZ,Melanie Ceren,firstname,,1
SK,Dermeková,lastname,,114
CZ,Šilinek,lastname,M,24
PL,Marcianowicz,lastname,,
PL,Pliecka,lastname,,1
PL,Karpala,lastname,,1
CZ,Hodač,lastname,M,284
SK,Tomášov,lastname,,20
PL,Monczewski,lastname,M,15
CZ,Pejřímovský,lastname,M,1
PL,Kienczkowski,lastname,M,20
CZ,Sückr,lastname,M,7
PL,Musiejowska,lastname,F,15
CZ,Chare,lastname,M,3
HU,Róbert Barna,firstname,M,3
SK,Kron,lastname,,3
PL,Sacik,lastname,,8
CZ,Šamárek,lastname,M,70
CZ,Loňka,firstname,,1
PL,Chołabis,lastname,,
CZ,Leipeltová,lastname,F,5
PL,Godorowska,lastname,F,34
CZ,Siažík,lastname,M,12
CZ,Eliška Matylda,firstname,,1
PL,Niebojewski,lastname,M,116
HU,Szilvia Petra,firstname,F,18
CZ,Feníková,lastname,F,9
PL,Łazurska,lastname,F,7
PL,Majór,lastname,,3
CZ,Pira,lastname,M,9
PL,Filusińska,lastname,,
PL,Waliszek,lastname,,180
PL,Stadmik,lastname,,1
SK,Huľva,lastname,,24
PL,Rzetała,lastname,,1
CZ,Petrskovský,lastname,M,52
PL,Przewozik,lastname,,15
PL,Ronsch,lastname,,
CZ,Sábor,lastname,M,3
CZ,Zamrazil,lastname,M,132
HU,De Bernardo,lastname,U,3
PL,Życzko,lastname,,48
PL,Glatki,lastname,,71
HU,Pietrzak,lastname,U,6
PL,Rasilewska,lastname,F,5
CZ,Schorro Trnková,lastname,F,1
PL,Niedadowska,lastname,,1
CZ,Kruchňa,lastname,M,33
HU,Agulár,lastname,U,3
SK,Turzerová,lastname,,6
PL,Myschker,lastname,,4
SK,Baricko,firstname,,
HU,Yamak,lastname,U,9
CZ,Schűllerová,lastname,F,21
PL,Sprątek,lastname,,1
CZ,Alblushi,lastname,M,3
CZ,Buko,lastname,M,1
CZ,Kleteschková,lastname,F,1
PL,Roes,lastname,,1
HU,Szabina Matild,firstname,F,1
HU,Emánuel Lázár,firstname,M,1
CZ,Jeroušek,lastname,M,30
PL,Pitruszkiewicz,lastname,,1
PL,Lęgowik,lastname,,4
HU,Titusz Miklós,firstname,M,1
PL,Seni,lastname,,1
SK,Štupák,lastname,,182
SK,Ficik,lastname,,8
PL,Dokiel,lastname,,1
HU,Regula,lastname,U,21
PL,Demaryń,lastname,,1
PL,Ryncak,lastname,,
PL,Pietriszcze,lastname,,
PL,Boniocka,lastname,F,1
PL,Miłopolski,lastname,M,10
SK,Siladiová,firstname,,
PL,Andryaszek,lastname,,1
SK,Šmahelová,firstname,,
SK,Holoďáková,lastname,,30
CZ,Bove,lastname,M,1
SK,Ducho,lastname,,46
PL,Bepiszcz,lastname,,1
PL,Sawalich,lastname,,16
CZ,Daşkin,lastname,M,3
PL,Ubertowska,lastname,F,7
PL,Kopara,lastname,,2
HU,Bognárné Lajkó,lastname,F,3
PL,Hrycna,lastname,,1
CZ,Nynička,lastname,M,3
CZ,Orbes,lastname,M,5
SK,Báliková,lastname,,24
HU,Krisztina Sztepányivna,firstname,F,1
CZ,Ruleová,lastname,F,4
HU,Virág Zsófia,firstname,F,39
SK,Silvie,firstname,F,
HU,Boróka Csilla,firstname,F,1
CZ,Gjocaj,lastname,M,1
CZ,Emílie Antonie,firstname,,1
CZ,Jaščuková,lastname,F,1
HU,Fehérné Himer,lastname,F,3
SK,Agh,lastname,,106
PL,Kawczok,lastname,,
PL,Zuggermeier,lastname,,2
SK,Chnápková,firstname,,
CZ,Ribovič,lastname,M,5
PL,Wannatim,lastname,,2
CZ,Fryz,lastname,M,10
CZ,Kýbalová,lastname,F,1
CZ,Tinl,lastname,M,6
SK,Borbélyová,firstname,,
CZ,Sallová,lastname,F,4
CZ,Hříbková,lastname,F,204
CZ,Myles Sawyer,firstname,,1
PL,Mordias,lastname,,5
CZ,Bohánský,lastname,M,18
SK,Krištofík,firstname,,
PL,Kabica,lastname,,1
CZ,Alexander Thomas,firstname,,5
PL,Poleszczuk,lastname,,412
PL,Tukarz,lastname,,
SK,Korjenko,lastname,,2
PL,Korzeniak,lastname,,687
CZ,Fauldsová,lastname,F,2
PL,Szczygielniak,lastname,,12
PL,Bochmann,lastname,,4
PL,Niemierska,lastname,F,100
SK,Mišove,lastname,,90
PL,Baniak,lastname,,1229
PL,Podłucki,lastname,M,118
PL,Kondratów,lastname,,24
PL,Sularz,lastname,,850
PL,Micer,lastname,,37
CZ,Jan Józef,firstname,,1
PL,Abrasowicz,lastname,,43
PL,Polcik,lastname,,11
PL,Procnar,lastname,,
PL,Falendzka,lastname,F,3
PL,Matalla,lastname,,5
PL,Gran,lastname,,7
CZ,Makridu,lastname,M,2
PL,Grochoczyński,lastname,M,5
PL,Ciesiora,lastname,,1
HU,Andreics,lastname,U,
SK,Émeric,firstname,M,
HU,Gabriella Petra,firstname,F,8
PL,Placeta,lastname,F,36
HU,Tünde Elizabet,firstname,F,1
CZ,Kornet,lastname,M,2
HU,Rumánszky,lastname,U,3
PL,Bolik,lastname,,281
CZ,Mourad,lastname,M,14
SK,Paššáková,lastname,,3
HU,Liliána Zsanett,firstname,F,1
CZ,Zaus,lastname,M,3
HU,Medláger,lastname,U,3
SK,Durmis,lastname,,13
PL,Wieczeryński,lastname,M,12
CZ,Křesomír,firstname,,2
PL,Darnszteter,lastname,,1
PL,Zientakowska,lastname,,
CZ,Pottmann,lastname,M,1
PL,Dunota,lastname,,1
CZ,Fuščič,lastname,M,5
CZ,Krop,lastname,M,72
PL,Pelowska,lastname,F,724
CZ,Mieczakowska,lastname,M,1
PL,Jernutowska,lastname,F,4
PL,Wojnowska,lastname,F,4082
PL,Kowarsch,lastname,,26
CZ,Kolozváry,lastname,M,2
SK,Záhorszky,lastname,,6
HU,Ferkodics,lastname,U,12
CZ,Macová,lastname,F,118
CZ,Dolnyj,lastname,M,2
PL,Liljensten,lastname,,1
PL,Mirchowski,lastname,M,1
CZ,Wiktorová,lastname,F,9
CZ,Dalstra,lastname,M,1
CZ,Wirthigová,lastname,F,2
CZ,Mahuliaková,lastname,F,5
CZ,Medulanová,lastname,F,1
HU,Icsei,lastname,U,75
PL,Zumiński,lastname,M,1
PL,Staciukowicz,lastname,,17
HU,Gréta Timea,firstname,F,1
PL,Pruszlak,lastname,,
HU,Gáyer,lastname,U,24
HU,Bendegúz Patrik,firstname,M,1
HU,Dharma,firstname,,1
PL,Krezymów,lastname,,1
CZ,Darníková,lastname,F,1
SK,Wagnerová,lastname,,34
SK,Taračová,lastname,,10
PL,Safulera,lastname,,25
CZ,Poirier,lastname,M,2
HU,Faldina,lastname,U,27
CZ,Maximiliano,firstname,,4
HU,Madlena,lastname,U,84
CZ,Dulovitš,lastname,M,2
CZ,Pöra,lastname,M,3
HU,Hőgyei,lastname,U,9
CZ,Jareš,lastname,M,751
PL,Gryżbon,lastname,,1
PL,Świątoniewska,lastname,F,7
CZ,Waňous,lastname,M,1
CZ,Bajnar,lastname,M,63
HU,Rangász,lastname,U,3
CZ,Hermann,firstname,,499
CZ,Teušlová,lastname,F,5
PL,Stejke,lastname,,24
CZ,Letenský,lastname,M,13
PL,Kursztejn,lastname,,
CZ,Macelis,lastname,M,2
HU,Moncz,lastname,U,30
HU,Noel Tamás,firstname,M,3
SK,Kurilak,firstname,,
PL,Philipzyk,lastname,,1
CZ,Zozulyčová,lastname,F,1
SK,Glancz,firstname,,
CZ,Maciopová,lastname,F,3
CZ,Bachmannová,lastname,F,85
HU,Jabarkhil,lastname,U,3
CZ,Kemperlová,lastname,F,1
PL,Mołodecki,lastname,M,212
CZ,Brilla,lastname,M,34
HU,Glória Petronella,firstname,F,1
CZ,Hadáčková,lastname,F,181
PL,Gielerek,lastname,,1
CZ,Balážová,lastname,F,2202
HU,Rachamim-Gondi,lastname,U,3
HU,Levente Alex,firstname,M,9
HU,Demuth,lastname,U,
CZ,Prachfeld,lastname,M,6
CZ,Krawciw,lastname,M,4
CZ,Schöllkopf,lastname,M,1
PL,Pinaś,lastname,,
PL,Pradzyński,lastname,M,11
PL,Zbryt,lastname,,1
PL,Częsz,lastname,,31
SK,Platone,firstname,M,
SK,Merlijn,firstname,M,
CZ,Muždeková,lastname,F,1
PL,Kozłocka,lastname,F,5
PL,Wylezuch,lastname,,1
CZ,Emily Pavla,firstname,,1
PL,Poselska,lastname,,
CZ,Giessl,lastname,M,7
HU,Gerliczki,lastname,U,69
PL,Markiw,lastname,,8
PL,Tonka,lastname,,2
CZ,Frenák,lastname,M,2
SK,Výrostko,firstname,,
CZ,Cherilyn,firstname,,1
HU,Henrik Ernesto,firstname,M,1
HU,Mihály Árpád,firstname,M,6
PL,Bałła,lastname,,16
HU,Margit Bélovna,firstname,F,1
HU,Fernandez Radics,lastname,U,3
CZ,Oskar Adam,firstname,,1
HU,Júlia Márta,firstname,F,10
CZ,Heidornová,lastname,F,2
PL,Memtel,lastname,,1
PL,Hołub,lastname,,1494
CZ,Alawoor,lastname,M,2
CZ,Dejčmar,lastname,M,34
CZ,Kubíková Nývltová,lastname,F,1
PL,Kubiasik,lastname,,
PL,Tchomanek,lastname,,1
HU,Kósáné Török,lastname,F,3
CZ,Járková,lastname,F,94
SK,Gombkötőová,lastname,,5
HU,Radics-Kalocsai,lastname,U,6
HU,Jákhalmi,lastname,U,3
SK,Kancko,lastname,,50
PL,Brobisz,lastname,,1
SK,Kameníková,lastname,,32
CZ,Paukovová,lastname,F,1
HU,Spániel,lastname,U,6
PL,Pomesna,lastname,,1
CZ,Crookston,lastname,M,2
PL,Schmerse,lastname,,1
CZ,Berri Rose,firstname,,1
SK,Krifka,lastname,,2
PL,Cissewska,lastname,F,66
HU,Seregi,lastname,U,390
CZ,Thelma Abie,firstname,,1
PL,Osochowski,lastname,M,27
PL,Możdzyński,lastname,M,58
CZ,Lucas Jenson,firstname,,1
SK,Tea,firstname,F,
SK,Bittala,lastname,,16
SK,Cincila,lastname,,
PL,Trebusznyj,lastname,,2
PL,Szumielski,lastname,M,26
PL,Miromir,firstname,M,
CZ,Justizová,lastname,F,3
PL,Kuznicki,lastname,M,24
PL,Śmigarski,lastname,M,1
PL,Mruziuk,lastname,,
CZ,Kaderábková,lastname,F,7
CZ,Penniger,lastname,M,4
PL,Ciopala,lastname,,1
PL,Otorkowski,lastname,M,6
PL,Bruchaszer,lastname,,1
HU,Rajágh,lastname,U,15
CZ,Falkenberg,lastname,M,2
CZ,Akkasová,lastname,F,1
HU,László-Bártfai,lastname,U,3
PL,Tropisz,lastname,,10
CZ,Smrečková,lastname,F,19
PL,Przyłudzki,lastname,M,109
PL,Salaban,lastname,,1
PL,Szpikowska,lastname,F,218
SK,Chudik,firstname,,
PL,Mutlan,lastname,,2
CZ,Panca,lastname,M,3
SK,Končitíková,lastname,,6
PL,Daase,lastname,,4
CZ,Tiapalová,lastname,F,5
PL,Ettmajer,lastname,,8
PL,Bilak,lastname,,116
CZ,Skočdopolová,lastname,F,175
PL,Szabielski,lastname,M,1
CZ,Toledano,lastname,M,6
PL,Curulska,lastname,,
CZ,Frišons,lastname,M,2
SK,Rogoznik,lastname,,
HU,Mercédesz Hédi,firstname,F,1
PL,Ranbal,lastname,,1
SK,Vesselényi,lastname,,
CZ,Kadoumiová,lastname,F,2
PL,Monseu,lastname,,4
SK,Pajda,lastname,,5
SK,Basko,firstname,,
HU,Spon,lastname,U,
HU,Virág Angyalka,firstname,F,1
PL,Konofoł,lastname,,6
PL,Oszędłowska,lastname,F,2
PL,Burkadzka,lastname,F,
PL,Edelsbacher,lastname,,1
CZ,Nikolas Cyril,firstname,,1
SK,Jánoska,firstname,,
PL,Gackowski,lastname,M,2150
PL,Swirdowski,lastname,M,4
PL,Latora,lastname,,
PL,Erbrich,lastname,,16
CZ,Holčápek,lastname,M,1
PL,Krzynkowska,lastname,,1
PL,Folentarski,lastname,M,32
HU,Hásper,lastname,U,30
HU,Barta-Csehes,lastname,U,6
CZ,Luisa Maria,firstname,,6
SK,Šafranik,lastname,,14
CZ,Viděčanová,lastname,F,2
CZ,Slamenková,lastname,F,6
PL,Lamali,lastname,,2
HU,Noémi Olívia,firstname,F,2
CZ,Rodemann,lastname,M,2
PL,Brzeczkowski,lastname,M,200
CZ,Mónosiová,lastname,F,1
CZ,Ponc,lastname,M,33
PL,Giliszek,lastname,,
SK,Botlíková,lastname,,29
PL,Wyszczyk,lastname,,1
HU,Sassné Katona,lastname,F,3
PL,Figarek,lastname,,
CZ,Lepeltová,lastname,F,1
HU,Dócsné Gráf,lastname,F,3
PL,Świątochowska,lastname,,
PL,Haulor,lastname,,1
CZ,Tatka,lastname,M,10
HU,Jekatyerina Szergejevna,firstname,,1
SK,Šmajda,lastname,,130
PL,Walecz-Majewski,lastname,M,7
CZ,Divald,lastname,M,1
CZ,Šenfeldr,lastname,M,30
CZ,Háronik,lastname,M,2
PL,Kujdewicz,lastname,,1
HU,Korrós,lastname,U,3
HU,Zsélyi,lastname,U,111
PL,Wechsler,lastname,,10
PL,Dołonko,lastname,,
SK,Jagelčák,lastname,,6
PL,Godurowski,lastname,M,23
CZ,Kurtzasová,lastname,F,1
PL,Dego,lastname,,
SK,Varga,lastname,,16834
CZ,Vyleťal,lastname,M,158
HU,Judit Gertrúd,firstname,F,1
PL,Jakobs,lastname,,44
SK,Kajda,lastname,,51
PL,Drozner,lastname,,1
PL,Jarantowska,lastname,F,110
PL,Lebik,lastname,,39
PL,Horodański,lastname,M,1
HU,Heléna Fruzsina,firstname,F,1
PL,Wszebrowski,lastname,M,6
CZ,Vega,lastname,M,16
CZ,Simeoni,lastname,M,2
PL,Kotuliński,lastname,M,97
CZ,Reparjuk,lastname,M,2
HU,Haut,lastname,U,3
CZ,Valentin Nicholas,firstname,,1
SK,Kirka,lastname,,19
PL,Sliba,lastname,,1
PL,Farecka,lastname,F,22
HU,Seybel,lastname,U,
CZ,Liksomrová,lastname,F,6
HU,Zita Borbála,firstname,F,10
CZ,Jabrane,lastname,M,5
PL,Merliński,lastname,M,28
CZ,Štěpánka Lili,firstname,,1
HU,Timon Zoltán,firstname,M,1
PL,Aseńczuk,lastname,,24
HU,Literaty,lastname,U,
PL,Wołkanowski,lastname,M,75
PL,Wolny,lastname,,6388
CZ,Kagerbauer,lastname,M,1
CZ,Albert František,firstname,,3
CZ,Holcmann,lastname,M,41
PL,Bogóniewicz,lastname,,
PL,Dziaska,lastname,,
PL,Hardej,lastname,,202
PL,Andruniuk,lastname,,1
CZ,Žentel,lastname,M,3
CZ,Šilingová,lastname,F,55
PL,Łuszewska,lastname,F,2
SK,Gubala,lastname,,176
PL,Zachowska,lastname,F,64
PL,Cisałkowska,lastname,,
CZ,Boukal,lastname,M,246
CZ,Ljubinkovič,lastname,M,4
PL,Wiertiuchow,lastname,,4
HU,Borka Emese,firstname,F,1
SK,Kozinová,lastname,,10
PL,Burdziłkowski,lastname,M,2
PL,Loukas,lastname,,1
PL,Bossert,lastname,,1
CZ,Fonš,lastname,M,16
SK,Rendárová,lastname,,11
PL,Prusimski,lastname,M,11
HU,Csókáné Bóni,lastname,F,3
CZ,Zuzaníková,lastname,F,102
PL,Mekarska,lastname,F,12
PL,Wawrząnkowska,lastname,,1
PL,Dołęska,lastname,F,55
PL,Połubiedow,lastname,,1
CZ,Devecigiller,lastname,M,1
PL,Kafczyk,lastname,,15
CZ,Bousbih,lastname,M,1
PL,Klonn,lastname,,33
PL,Flaszkiewicz,lastname,,
CZ,Monika Ela,firstname,,1
HU,Hebestrei,lastname,U,6
HU,Csehók,lastname,U,6
SK,Ondo Eštok,lastname,,8
CZ,Schoepová,lastname,F,3
PL,Braier,lastname,,3
HU,Tertei,lastname,U,3
PL,Wienczkowski,lastname,M,13
PL,Podlipnia,lastname,,6
CZ,Glovacká,lastname,M,4
CZ,Oračka,lastname,M,1
HU,Desztics,lastname,U,27
HU,Kincsverő,lastname,U,24
SK,Smetanay,lastname,,
HU,Albert Imre,firstname,M,5
HU,Száva Róza,firstname,F,1
PL,Jenczewska,lastname,F,116
CZ,Šimkovská,lastname,M,48
HU,Strebek,lastname,U,3
CZ,Bijota,lastname,M,6
PL,Bieliczko,lastname,,4
PL,Batugowski,lastname,M,46
PL,Zieńkowska,lastname,F,97
PL,Kiełbasowicz,lastname,,5
CZ,Dustin,firstname,,6
PL,Kostanciuk,lastname,,1
PL,Wdowiarz,lastname,,137
CZ,Zingl,lastname,M,3
